Код фильма;Имя;Фамилия;Амплуа
1;Франсуа;Клюзе;Герой
2;Меттью;Макконахи;Герой
3;Тим;Роббинс;Проказник
4;Леонардо;ДиКаприо;Герой
5;Том;Хэнкс;Блюститель порядка
6;Брэдд;Питт;Проказник
7;Элайджа;Вуд;Шут
8;Чарли;Ханнэм;Проказник
9;Робин;Вайт;Моралист
10;Элайджа;Вуд;Шут
